title,link,domain,published_date,topic
"Age, education, and surgical history affect hormone use after oophorectomy",https://www.eurekalert.org/pub_releases/2020-08/tnam-aea081120.php,eurekalert.org,2020-08-12 04:02:32,HEALTH
UK virologists criticise handling of Covid testing contracts,https://www.theguardian.com/world/2020/aug/03/uk-virologists-criticise-handling-coronavirus-testing-contracts,theguardian.com,2020-08-03 18:35:00,HEALTH
Chris Pratt Reveals The Name Of His Daughter In Gushing New Post,https://www.cinemablend.com/news/2552225/chris-pratt-reveals-the-name-of-his-daughter-in-gushing-new-post,cinemablend.com,2020-08-10 21:01:00,ENTERTAINMENT
Kate Middleton pregnant: Signs Duchess expecting as new Prince Louis photo comes to light,https://www.express.co.uk/life-style/life/1318622/kate-middleton-pregnant-pregnancy-royal-family-news,express.co.uk,2020-08-04 16:42:00,ENTERTAINMENT
Todholm Primary School: Pupil tests positive and contact tracing begins in Paisley school,https://www.heraldscotland.com/news/18657305.todholm-primary-school-contact-tracing-begins-pasiley-school/,heraldscotland.com,2020-08-17 18:11:15,HEALTH
A wound dressing that kills bacteria,https://www.newswise.com/articles/a-wound-dressing-that-kills-bacteria,newswise.com,2020-08-11 10:55:00,HEALTH
Anne Heche sure did have something to say about the Ellen controversy,https://news.avclub.com/anne-heche-sure-did-have-something-to-say-about-the-ell-1844751072,news.avclub.com,2020-08-17 17:13:00,ENTERTAINMENT
"Covid-19: UN-Habitat distributes face masks in Kibera, Mathare",https://www.nation.co.ke/kenya/counties/nairobi/covid-19-un-habitat-face-masks-kibera-mathare-1920344,nation.co.ke,2020-08-17 14:50:00,WORLD
A dinosaur was diagnosed with bone cancer in first confirmed case,https://www.businessinsider.com/dinosaur-diagnosed-with-cancer-first-case-2020-8,businessinsider.com,2020-08-05 19:09:11,SCIENCE
"To Birthday Boy Mahesh Babu, With Love From Sitara, Gautham And Namrata Shirodkar",https://www.ndtv.com/entertainment/to-birthday-boy-mahesh-babu-with-love-from-sitara-gautham-and-namrata-shirodkar-2276637,ndtv.com,2020-08-09 07:31:53,ENTERTAINMENT
